,Life expectancy 
2268,74.9
1680,71.5
2785,56.2
2512,81.1
1090,58.9
1851,85.0
2680,72.9
2237,73.9
1101,53.5
542,48.0
1180,81.0
2734,75.0
2175,74.1
2555,69.3
2526,82.3
1263,77.4
2671,74.7
2835,67.6
1469,73.7
2801,78.2
2868,73.6
774,73.1
435,52.0
2511,81.4
237,67.2
1095,56.7
109,72.6
1951,64.2
163,74.9
2439,79.4
252,78.3
1864,73.9
2561,66.1
1025,57.2
760,62.0
1439,59.3
1118,65.3
2283,72.9
1050,71.9
1290,81.3
2887,73.8
2323,82.0
860,59.4
2350,79.5
461,77.0
1019,59.4
157,67.8
1804,60.0
1781,66.4
1582,44.6
2776,78.0
238,67.7
943,79.2
2875,75.9
1865,74.5
100,73.9
315,65.1
2703,65.6
1130,61.8
2204,73.0
2241,73.2
261,69.5
1125,62.3
2031,67.5
2528,82.0
869,76.3
179,76.5
2267,75.3
2387,51.6
1984,68.0
2502,46.4
2025,68.1
480,57.3
1662,64.0
2882,74.7
2384,51.9
1971,75.5
1059,71.7
946,66.0
2364,68.7
2126,73.1
891,57.2
719,66.6
1802,62.4
1408,73.2
2073,77.9
1457,71.0
247,79.5
2905,68.0
2591,74.4
2012,73.7
2305,45.3
347,48.1
2706,63.7
2792,49.6
2230,63.1
656,74.7
1364,62.6
730,55.0
2569,74.9
2616,58.7
1534,71.6
1611,75.0
1012,61.9
2162,53.4
445,47.7
617,56.9
2731,78.0
1855,79.9
967,59.3
1380,65.8
1490,61.4
2497,50.0
547,79.9
2280,72.6
2722,55.5
263,69.6
1665,61.0
1954,63.5
353,74.8
208,75.5
2478,73.0
813,69.0
1424,67.2
2450,73.8
1769,54.0
57,47.7
934,81.7
2927,52.4
561,75.8
2718,59.3
229,73.0
1623,56.5
762,59.1
847,53.5
1003,79.6
1500,55.3
2740,67.0
2674,74.4
708,69.8
424,54.8
69,75.6
2686,74.2
842,55.0
1589,74.5
1189,67.3
1181,88.0
2389,51.1
620,53.2
747,78.1
1257,79.8
1801,63.0
1973,75.5
1353,66.6
789,75.5
2585,75.7
1932,75.4
1727,64.0
279,57.6
2363,68.8
783,71.4
2385,51.5
1555,65.1
2002,71.9
2726,51.0
596,62.2
909,68.1
2870,72.4
2663,69.1
440,49.9
508,79.7
76,74.2
1818,68.0
650,75.9
522,45.9
2768,81.0
2356,77.2
1409,73.2
914,81.1
1452,76.0
2516,83.0
1558,63.8
631,79.2
1179,81.1
2661,69.3
1332,73.9
482,56.4
1820,67.0
1043,73.5
2508,81.7
1020,58.9
438,51.0
2601,68.3
1458,74.9
1873,76.0
166,74.6
59,47.1
611,63.7
530,52.2
1609,75.9
49,51.7
1626,55.0
881,78.0
1427,65.3
48,52.4
720,65.4
1099,54.4
1202,69.1
2196,71.0
1823,65.4
633,78.9
1218,75.5
2080,76.6
858,62.0
1210,67.5
25,74.2
1450,78.0
2781,58.6
276,59.1
2109,69.0
1697,75.0
2635,73.2
361,73.0
1127,36.3
1877,61.8
2137,70.0
2284,72.7
1732,76.1
1743,73.5
1239,76.0
2614,62.0
297,65.8
1236,69.5
240,81.1
1119,65.3
582,73.6
1419,66.7
1027,88.0
1304,74.7
2261,59.0
350,46.7
2766,86.0
2227,64.3
349,46.0
2814,77.0
1482,46.2
931,82.2
939,86.0
1756,71.4
658,79.0
1807,54.7
1096,56.3
1874,75.0
2414,55.0
2378,54.3
902,69.2
1999,72.5
1602,78.5
1227,72.2
538,48.6
932,82.0
1890,51.4
2325,79.3
1423,66.7
1783,65.9
788,76.0
2638,72.8
1928,76.2
790,75.3
2837,67.8
2131,71.1
1901,55.0
715,68.5
805,72.0
1233,73.0
1448,72.6
123,86.0
1849,86.0
2932,44.6
1600,72.7
618,55.3
406,56.9
1086,53.3
1366,61.2
1504,51.5
497,82.0
2535,82.0
325,76.4
342,59.2
2217,67.5
784,71.2
2317,82.2
299,64.2
1911,81.6
954,61.6
1049,72.1
1714,67.0
2021,72.4
1592,74.0
220,73.7
2705,64.1
928,78.0
449,73.0
1437,64.0
1375,52.1
2366,68.3
84,75.7
1655,62.2
778,72.9
843,54.8
621,52.6
2564,65.9
266,69.0
1092,58.1
290,69.1
2647,71.8
2925,56.6
2398,58.0
416,59.6
472,65.0
604,59.6
1920,81.0
2838,67.2
2228,63.8
2420,51.4
2845,71.4
655,74.9
2049,75.0
2040,77.3
2406,54.9
823,72.0
343,57.5
2696,74.0
2929,48.2
1309,73.3
2630,54.7
278,58.4
1994,73.6
2125,73.1
1594,73.7
2658,69.6
18,77.2
613,62.0
644,77.1
1675,72.9
2888,73.6
1568,58.7
2778,61.8
1455,73.0
1717,68.4
1108,65.9
2482,69.3
757,61.8
2086,76.2
1561,62.3
2158,68.0
2037,66.8
681,78.9
2652,78.0
2830,68.5
1866,73.2
2860,73.8
219,73.8
601,63.0
360,73.3
2066,78.0
303,62.0
52,51.0
2090,81.2
1805,57.0
1822,66.0
0,65.0
2484,68.3
1478,52.3
344,56.9
841,55.4
2678,73.5
2266,75.4
1615,71.8
1241,69.3
648,76.0
2789,51.5
2020,72.6
1788,64.5
1997,73.0
971,58.2
1414,69.4
1420,66.9
1031,83.0
1489,49.3
192,71.8
803,78.0
174,72.9
85,75.5
1007,78.4
2009,75.3
2327,78.7
351,47.8
669,77.4
2456,71.5
128,81.5
340,62.2
7,58.1
1075,58.1
893,55.0
1716,68.8
947,65.5
2218,67.3
307,69.8
814,68.6
638,78.3
383,74.4
1730,63.2
2474,71.4
2721,56.3
2644,72.2
1057,74.0
177,76.8
426,53.4
494,51.5
183,75.8
2842,72.0
1255,86.0
184,75.6
1767,54.8
2178,73.1
2381,53.1
1163,73.4
2884,74.4
812,69.4
1378,66.3
1351,67.8
1176,81.6
2392,55.0
275,59.3
489,53.3
1562,61.9
1212,67.2
691,78.2
2338,74.3
1073,67.7
2154,64.6
2008,75.3
118,81.7
1883,57.1
1253,85.0
281,56.8
2285,72.6
1876,73.0
1077,58.4
1107,66.0
1514,72.5
1835,86.0
304,77.0
1741,73.8
2422,52.0
2762,81.2
575,71.7
2133,78.0
2517,82.0
2570,74.6
2111,68.3
1280,79.3
1955,63.2
1959,77.8
2053,74.2
630,78.1
1035,79.7
286,55.5
2160,57.6
300,63.3
2782,58.3
2653,76.0
65,76.2
2170,74.8
892,56.0
2811,76.8
2124,73.4
230,70.0
503,87.0
1136,58.9
1270,81.8
2232,62.6
1153,71.0
1006,78.5
838,56.2
1453,71.0
374,76.8
1175,81.8
2677,73.7
1684,76.6
1700,69.4
1995,73.4
752,76.9
99,74.4
1625,55.5
868,76.9
912,67.8
1585,43.1
529,52.6
637,78.0
185,75.5
1115,65.2
1622,56.8
933,81.5
2760,74.5
2245,73.0
1546,79.7
1887,53.7
607,59.5
1262,78.0
151,73.0
1208,67.9
2094,83.0
732,53.5
1677,72.1
1556,64.7
2673,74.6
23,75.3
1566,59.9
158,67.5
863,58.5
904,68.9
1346,72.0
2203,73.2
444,48.0
2879,75.2
2846,71.2
925,78.7
2910,58.2
2091,81.1
311,67.4
548,79.8
1837,82.0
1372,54.1
306,71.0
287,55.4
695,77.1
308,69.3
2270,74.4
750,77.0
1444,74.1
910,68.0
1773,51.2
2330,76.4
1206,68.3
2735,69.8
972,57.7
13,56.2
875,73.0
810,69.7
514,49.9
2362,68.8
409,54.3
2182,71.8
2260,59.7
1230,75.0
1151,71.6
1261,78.3
1428,64.9
382,74.7
2928,50.0
2139,69.4
2449,73.7
1274,84.0
552,78.9
222,73.4
1098,55.0
2543,73.8
8,57.5
1425,66.6
316,64.5
427,52.6
1577,50.0
105,72.9
1301,75.3
2023,68.5
121,81.2
2321,81.1
2807,77.0
1792,63.2
2545,73.8
1395,74.6
115,82.3
2445,74.5
1191,66.4
2828,69.1
2818,75.4
2899,63.0
1508,72.9
1693,75.3
673,85.0
1347,69.9
1540,81.4
591,71.4
1319,83.0
890,58.5
1654,62.5
1285,82.0
1749,74.1
213,74.7
2179,72.6
2059,82.0
802,79.0
2427,82.4
1434,62.1
2294,72.1
2606,66.9
2655,71.0
273,59.7
71,75.2
1687,76.1
1089,52.5
394,72.1
583,73.5
2057,86.0
1940,72.9
500,81.5
1902,49.8
2256,62.8
2918,46.4
2765,86.0
1463,74.9
1642,79.6
205,66.3
734,52.1
1431,63.6
526,45.6
1549,78.7
900,69.6
377,76.3
1628,53.6
2626,55.7
1359,64.7
386,74.1
198,69.5
1052,71.5
590,71.5
519,47.6
1924,78.8
429,51.5
1085,54.0
207,65.3
491,52.1
2853,69.6
794,74.7
2434,88.0
1188,67.6
1187,68.0
1660,69.0
2487,67.7
83,75.9
2319,81.7
2176,73.9
20,76.6
2936,45.3
2509,81.7
1867,73.2
2637,72.9
1830,81.7
975,56.6
2733,77.0
885,63.3
1100,53.9
2253,64.9
2697,66.3
888,68.0
1603,78.2
2425,82.8
1713,67.2
2481,69.5
1387,65.0
2593,73.5
458,71.8
2485,68.0
78,73.8
2855,69.3
1058,71.9
908,68.3
1477,52.2
2408,57.3
2640,72.6
380,76.0
2360,76.0
1614,72.7
1850,89.0
716,68.4
2293,72.1
687,78.2
2510,81.5
305,74.0
209,75.4
1400,73.9
2171,74.7
2914,52.6
1493,67.0
887,61.8
2391,57.0
919,79.9
2470,59.4
1565,64.0
191,74.5
1888,52.9
1267,82.2
483,55.9
917,84.0
2544,73.8
277,58.7
990,72.7
1370,56.8
1787,59.2
1620,57.3
571,73.5
995,89.0
2084,76.4
1863,73.9
585,73.1
1918,85.0
2931,45.4
1915,81.0
675,81.0
1595,73.6
857,67.0
447,47.9
1336,73.3
1571,57.6
1527,72.4
2659,69.5
2619,59.4
2435,81.0
1618,58.2
2615,59.4
1249,70.0
294,67.4
588,72.4
1283,82.5
1339,72.8
1721,66.3
1342,72.3
2202,73.6
425,54.1
534,57.0
1056,77.0
1760,69.9
2451,74.2
2313,83.1
132,88.0
1734,75.8
1722,66.9
2027,68.0
2602,68.0
1916,89.0
1899,51.6
556,77.9
1931,75.6
1401,73.8
2623,56.7
570,73.9
352,75.0
91,74.7
2896,64.1
2480,69.8
1172,82.4
2890,65.7
1287,81.8
1604,77.9
1383,65.3
1363,62.9
2415,54.3
698,76.5
2462,62.5
348,46.4
1474,53.7
2296,71.8
2380,53.1
2120,74.8
1139,74.5
1694,75.4
1368,59.1
2780,59.7
2764,87.0
1341,72.5
2437,79.4
453,72.5
915,89.0
1201,62.5
1276,80.0
2594,73.7
37,74.7
976,56.3
2715,61.5
985,73.9
2627,55.0
1852,81.0
1960,77.6
39,74.1
2383,52.2
169,74.2
1357,64.7
738,84.0
1464,74.7
2643,72.3
1790,63.9
635,78.6
2592,74.2
1811,57.4
1292,88.0
1382,65.5
579,74.3
328,75.4
2471,58.9
894,54.0
1746,73.3
782,73.0
159,66.6
1459,74.8
1560,62.8
2495,52.6
61,46.5
851,64.4
2816,76.6
2833,67.9
1045,73.1
2443,74.6
2675,74.2
2898,63.4
1072,68.4
53,49.6
258,69.8
505,85.0
753,63.5
1910,81.8
2796,78.9
1884,56.0
1894,53.6
2935,44.8
2224,65.4
1391,64.6
1268,82.1
2413,55.4
1613,73.4
773,72.1
2746,77.1
2155,63.8
2629,54.7
1087,52.9
2074,77.8
1446,73.6
1327,81.8
2596,73.5
1616,78.0
1553,77.8
1774,58.0
2821,75.4
1584,43.5
1617,69.6
1165,72.9
965,62.0
2843,71.7
1567,59.3
398,71.6
584,73.5
950,62.8
705,76.0
431,58.0
292,68.3
145,72.5
1956,63.0
2061,79.3
1167,72.5
1454,78.0
2,59.9
576,74.8
2250,66.4
339,63.4
2396,59.2
1499,56.7
927,78.1
265,69.4
376,76.0
2114,68.0
1465,74.5
271,68.3
697,76.8
2912,57.4
244,83.0
2907,61.1
476,63.0
2547,73.5
1653,62.7
1745,73.4
1580,46.0
2728,47.7
2894,64.6
1816,68.9
1764,57.6
250,78.9
413,51.0
545,83.0
1195,64.8
739,81.0
310,68.0
2738,67.5
895,53.2
1133,58.7
1451,75.0
2848,78.0
15,54.8
1842,78.4
722,59.3
1422,66.6
2578,73.0
983,73.8
1768,54.3
2477,76.0
2371,67.4
363,72.0
1885,55.2
182,76.0
987,73.9
1879,69.0
1196,64.4
1668,74.2
1579,47.1
1123,63.1
187,75.2
619,54.1
1596,73.4
1177,81.4
1970,75.8
2212,79.0
614,68.0
1515,72.2
1468,73.9
2036,66.8
996,86.0
936,81.1
371,78.3
2097,78.7
2117,67.6
593,63.2
2631,54.6
727,56.7
828,71.0
1578,48.5
688,78.1
2164,57.0
136,81.0
629,79.0
334,74.9
2753,75.8
2259,65.0
1111,65.9
1891,56.0
2642,72.4
711,68.7
1041,78.2
2499,46.0
1747,73.0
1957,62.8
2701,65.6
2467,67.0
1114,65.7
465,68.3
1225,72.7
1844,78.1
2906,61.8
2298,48.1
1510,71.3
1106,66.2
1878,61.4
338,64.2
2700,65.6
1809,55.7
2461,62.7
2748,76.7
1733,75.9
1586,75.0
2469,59.6
818,73.5
1069,69.6
274,59.5
2194,71.4
867,77.3
101,73.5
1503,56.0
2189,72.5
171,73.8
107,73.0
1758,77.0
1523,73.4
2926,54.9
2010,74.9
2579,72.5
2221,66.6
2893,64.7
2200,74.0
2290,72.2
1658,61.4
2035,67.2
713,68.5
72,75.0
2306,44.3
2220,66.9
2506,82.3
2826,69.4
481,56.7
2742,67.6
1532,78.0
1926,76.6
1516,71.9
2900,62.6
1492,61.1
1173,82.5
2923,59.2
1724,65.9
2130,71.7
2214,75.0
1944,66.0
405,57.5
758,61.3
1847,81.3
2136,73.0
2612,62.3
97,74.6
1335,73.4
2339,74.0
744,78.8
808,69.9
2714,62.3
2486,67.9
2446,74.5
1537,71.6
1942,66.4
2278,72.9
148,71.6
2100,77.1
1947,65.1
1795,62.1
2078,76.8
693,77.8
820,73.0
1388,64.9
2231,62.8
1953,63.7
1601,72.4
2311,41.0
2405,54.0
702,75.3
1771,53.2
2600,72.6
923,79.2
1426,65.7
907,68.5
454,72.4
2014,73.9
2254,64.3
1779,49.0
167,74.5
731,54.3
2110,68.9
1312,72.7
26,73.5
1825,64.3
1624,56.0
587,72.8
1903,49.2
999,81.0
1178,81.3
1042,73.6
33,75.4
1705,68.5
2318,82.0
1381,65.7
41,73.4
2589,74.9
2147,64.6
2551,72.7
1979,62.0
1706,68.4
609,64.2
1134,59.7
28,72.8
441,49.4
1836,83.0
2349,79.8
493,51.6
1260,78.7
1303,75.0
2315,82.7
1384,65.2
1306,74.2
236,67.7
551,79.6
520,46.8
2166,48.3
1234,68.9
1140,74.3
721,59.8
736,51.3
2597,73.2
58,47.4
632,78.9
1183,84.0
2239,73.4
592,63.5
1305,74.5
1389,64.8
2560,66.4
2575,73.7
1742,73.6
941,82.0
2732,71.0
1251,81.2
906,68.6
1281,78.9
2858,74.1
2820,75.7
2144,66.4
2337,74.4
1930,75.8
1144,73.4
2331,76.1
707,71.0
2586,75.5
1024,57.4
746,78.1
1548,78.8
2307,43.3
1934,74.9
513,58.0
81,76.2
2605,67.2
1310,73.1
2920,44.6
916,87.0
1406,73.4
1649,77.5
2840,67.4
1110,65.6
150,78.0
2670,74.8
776,73.6
329,75.7
6,58.6
945,78.8
824,71.4
735,51.8
911,67.9
468,67.0
181,76.1
164,75.0
2000,72.3
451,72.7
490,52.8
2556,68.8
1145,73.2
1313,72.6
2192,71.9
1113,66.3
2797,78.8
1443,74.4
1782,66.2
2018,72.2
1629,52.8
1634,81.7
1076,58.8
2006,79.0
2908,63.0
